,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
53,2021-09-03,785.3413374163863,662.2707563842812,888.0884115670578,785.3413374163863,785.3413374163863,-14.203283682400635,-14.203283682400635,-14.203283682400635,-14.203283682400635,-14.203283682400635,-14.203283682400635,0.0,0.0,0.0,771.1380537339857
54,2021-09-07,796.367399659698,676.130890417622,910.2191455738916,796.367399659698,796.367399659698,-3.617792264334928,-3.617792264334928,-3.617792264334928,-3.617792264334928,-3.617792264334928,-3.617792264334928,0.0,0.0,0.0,792.749607395363
55,2021-09-08,799.1239152205259,687.542673039277,921.7659285847365,799.1239152205259,799.1239152205259,-0.7337970417015689,-0.7337970417015689,-0.7337970417015689,-0.7337970417015689,-0.7337970417015689,-0.7337970417015689,0.0,0.0,0.0,798.3901181788243
56,2021-09-09,801.880430781354,686.3452994013458,910.8983222996709,801.880430781354,801.880430781354,-8.669034871683856,-8.669034871683856,-8.669034871683856,-8.669034871683856,-8.669034871683856,-8.669034871683856,0.0,0.0,0.0,793.2113959096702
57,2021-09-10,805.079350895023,674.7667255214262,901.9381207501888,805.079350895023,805.079350895023,-14.203283682383985,-14.203283682383985,-14.203283682383985,-14.203283682383985,-14.203283682383985,-14.203283682383985,0.0,0.0,0.0,790.876067212639
58,2021-09-13,814.6761112360305,712.28842901668,937.4120966802157,814.6761112360305,814.6761112360305,1.80895604559212,1.80895604559212,1.80895604559212,1.80895604559212,1.80895604559212,1.80895604559212,0.0,0.0,0.0,816.4850672816226
59,2021-09-14,817.8750313496996,693.6526650698302,930.3624266863003,817.8750313496996,817.8750313496996,-3.6177922643699962,-3.6177922643699962,-3.6177922643699962,-3.6177922643699962,-3.6177922643699962,-3.6177922643699962,0.0,0.0,0.0,814.2572390853296
60,2021-09-15,821.0739514633689,714.8253500644872,945.283012113059,821.0739514633689,821.0739514633689,-0.7337970417093831,-0.7337970417093831,-0.7337970417093831,-0.7337970417093831,-0.7337970417093831,-0.7337970417093831,0.0,0.0,0.0,820.3401544216595
61,2021-09-16,824.2728715770379,703.0627811084577,928.831982696297,824.2728715770379,824.2728715770379,-8.66903487170561,-8.66903487170561,-8.66903487170561,-8.66903487170561,-8.66903487170561,-8.66903487170561,0.0,0.0,0.0,815.6038367053322
62,2021-09-17,827.471791690707,702.9185312160179,930.6532874791897,827.471791690707,827.471791690707,-14.20328368243159,-14.20328368243159,-14.20328368243159,-14.20328368243159,-14.20328368243159,-14.20328368243159,0.0,0.0,0.0,813.2685080082755
63,2021-09-20,837.0685520317145,724.9094629991921,957.5731040488149,837.0685520317145,837.0685520317145,1.8089560455597393,1.8089560455597393,1.8089560455597393,1.8089560455597393,1.8089560455597393,1.8089560455597393,0.0,0.0,0.0,838.8775080772742
64,2021-09-21,840.2674721453835,712.953871648588,950.8282058941656,840.2674721453835,840.2674721453835,-3.617792264383064,-3.617792264383064,-3.617792264383064,-3.617792264383064,-3.617792264383064,-3.617792264383064,0.0,0.0,0.0,836.6496798810005
65,2021-09-22,843.4680745102918,732.8384341038446,961.5869213997511,843.4680745102918,843.4680745102918,-0.733797041701072,-0.733797041701072,-0.733797041701072,-0.733797041701072,-0.733797041701072,-0.733797041701072,0.0,0.0,0.0,842.7342774685907
66,2021-09-23,846.6686768752,729.931808008674,945.2442429974758,846.6686768752,846.6686768752,-8.66903487171077,-8.66903487171077,-8.66903487171077,-8.66903487171077,-8.66903487171077,-8.66903487171077,0.0,0.0,0.0,837.9996420034893
67,2021-09-24,849.8692792401081,733.3811297320419,940.395277888153,849.8692792401081,849.8692792401081,-14.20328368242337,-14.20328368242337,-14.20328368242337,-14.20328368242337,-14.20328368242337,-14.20328368242337,0.0,0.0,0.0,835.6659955576847
68,2021-09-27,859.4710863348324,742.811933653014,976.7857467443715,859.4710863348324,859.4710863348324,1.808956045564035,1.808956045564035,1.808956045564035,1.808956045564035,1.808956045564035,1.808956045564035,0.0,0.0,0.0,861.2800423803965
69,2021-09-28,862.6716886997407,744.1489549503707,971.5723791830433,862.6716886997407,862.6716886997407,-3.6177922643740397,-3.6177922643740397,-3.6177922643740397,-3.6177922643740397,-3.6177922643740397,-3.6177922643740397,0.0,0.0,0.0,859.0538964353666
70,2021-09-29,865.8722910646488,743.06758978719,981.9030913359298,865.8722910646488,865.8722910646488,-0.7337970417088885,-0.7337970417088885,-0.7337970417088885,-0.7337970417088885,-0.7337970417088885,-0.7337970417088885,0.0,0.0,0.0,865.13849402294
71,2021-09-30,869.0728934295569,747.0220714784834,980.2496670768944,869.0728934295569,869.0728934295569,-8.669034871732526,-8.669034871732526,-8.669034871732526,-8.669034871732526,-8.669034871732526,-8.669034871732526,0.0,0.0,0.0,860.4038585578244
72,2021-10-01,872.2734957944651,742.5516705813618,972.5388188274824,872.2734957944651,872.2734957944651,-14.203283682415156,-14.203283682415156,-14.203283682415156,-14.203283682415156,-14.203283682415156,-14.203283682415156,0.0,0.0,0.0,858.07021211205
73,2021-10-04,881.8753029472563,770.5168887041432,991.7510340758691,881.8753029472563,881.8753029472563,1.808956045549992,1.808956045549992,1.808956045549992,1.808956045549992,1.808956045549992,1.808956045549992,0.0,0.0,0.0,883.6842589928062
74,2021-10-05,885.0759053315201,756.1900571810116,1001.3686324125009,885.0759053315201,885.0759053315201,-3.617792264365016,-3.617792264365016,-3.617792264365016,-3.617792264365016,-3.617792264365016,-3.617792264365016,0.0,0.0,0.0,881.4581130671551
75,2021-10-06,888.2765077157837,776.1148342840186,990.6266819063113,888.2765077157837,888.2765077157837,-0.7337970416952331,-0.7337970416952331,-0.7337970416952331,-0.7337970416952331,-0.7337970416952331,-0.7337970416952331,0.0,0.0,0.0,887.5427106740885
76,2021-10-07,891.4771101000476,761.1729027917925,984.6355773513087,891.4771101000476,891.4771101000476,-8.669034871721092,-8.669034871721092,-8.669034871721092,-8.669034871721092,-8.669034871721092,-8.669034871721092,0.0,0.0,0.0,882.8080752283265
77,2021-10-08,894.6777124843113,770.9021985221821,1006.125801267644,894.6777124843113,894.6777124843113,-14.203283682454327,-14.203283682454327,-14.203283682454327,-14.203283682454327,-14.203283682454327,-14.203283682454327,0.0,0.0,0.0,880.474428801857
78,2021-10-11,904.2795196371026,798.7112458450162,1019.7755350171203,904.2795196371026,904.2795196371026,1.8089560455903,1.8089560455903,1.8089560455903,1.8089560455903,1.8089560455903,1.8089560455903,0.0,0.0,0.0,906.0884756826929
79,2021-10-12,907.4801220213662,789.2462883938377,1023.175038901553,907.4801220213662,907.4801220213662,-3.6177922643559937,-3.6177922643559937,-3.6177922643559937,-3.6177922643559937,-3.6177922643559937,-3.6177922643559937,0.0,0.0,0.0,903.8623297570102
80,2021-10-13,910.6807244056301,798.2813607556232,1033.2484030284515,910.6807244056301,910.6807244056301,-0.7337970417245183,-0.7337970417245183,-0.7337970417245183,-0.7337970417245183,-0.7337970417245183,-0.7337970417245183,0.0,0.0,0.0,909.9469273639056
81,2021-10-14,913.8813268036688,790.1193250529346,1024.4109207596796,913.8813268036688,913.8813268036688,-8.66903487169362,-8.66903487169362,-8.66903487169362,-8.66903487169362,-8.66903487169362,-8.66903487169362,0.0,0.0,0.0,905.2122919319752
82,2021-10-15,917.0819292017075,794.7363244995944,1017.572116742234,917.0819292017075,917.0819292017075,-14.203283682454547,-14.203283682454547,-14.203283682454547,-14.203283682454547,-14.203283682454547,-14.203283682454547,0.0,0.0,0.0,902.8786455192529
83,2021-10-18,926.6837363958232,820.8150761568714,1032.3632271962874,926.6837363958232,926.6837363958232,1.808956045576256,1.808956045576256,1.808956045576256,1.808956045576256,1.808956045576256,1.808956045576256,0.0,0.0,0.0,928.4926924413994
84,2021-10-19,929.8843387938618,810.1480593285703,1043.2181096937104,929.8843387938618,929.8843387938618,-3.6177922643910616,-3.6177922643910616,-3.6177922643910616,-3.6177922643910616,-3.6177922643910616,-3.6177922643910616,0.0,0.0,0.0,926.2665465294708
85,2021-10-20,933.0849411919005,818.4671258166586,1046.0677122939699,933.0849411919005,933.0849411919005,-0.733797041710865,-0.733797041710865,-0.733797041710865,-0.733797041710865,-0.733797041710865,-0.733797041710865,0.0,0.0,0.0,932.3511441501896
86,2021-10-21,936.2855435899392,809.3282104599458,1036.7383230206542,936.2855435899392,936.2855435899392,-8.669034871698782,-8.669034871698782,-8.669034871698782,-8.669034871698782,-8.669034871698782,-8.669034871698782,0.0,0.0,0.0,927.6165087182404
87,2021-10-22,939.4861459879778,808.9758611391443,1038.232438746041,939.4861459879778,939.4861459879778,-14.203283682437899,-14.203283682437899,-14.203283682437899,-14.203283682437899,-14.203283682437899,-14.203283682437899,0.0,0.0,0.0,925.2828623055399
88,2021-10-25,949.0879531820937,837.9501864501657,1072.9946478805302,949.0879531820937,949.0879531820937,1.80895604558055,1.80895604558055,1.80895604558055,1.80895604558055,1.80895604558055,1.80895604558055,0.0,0.0,0.0,950.8969092276742
89,2021-10-26,952.2885554191093,835.9829163284111,1057.8049961509007,952.2885554191093,952.2885554191093,-3.6177922643599474,-3.6177922643599474,-3.6177922643599474,-3.6177922643599474,-3.6177922643599474,-3.6177922643599474,0.0,0.0,0.0,948.6707631547494
90,2021-10-27,955.4891576561249,840.3313486885488,1071.9377865121814,955.4891576561249,955.4891576561249,-0.7337970416972108,-0.7337970416972108,-0.7337970416972108,-0.7337970416972108,-0.7337970416972108,-0.7337970416972108,0.0,0.0,0.0,954.7553606144277
91,2021-10-28,958.6897598931404,840.1585885663656,1063.7847874029262,958.6897598931404,958.6897598931404,-8.669034871703943,-8.669034871703943,-8.669034871703943,-8.669034871703943,-8.669034871703943,-8.669034871703943,0.0,0.0,0.0,950.0207250214364
92,2021-10-29,961.8903621301562,837.669890513131,1055.2736625477944,961.8903621301562,961.8903621301562,-14.203283682429682,-14.203283682429682,-14.203283682429682,-14.203283682429682,-14.203283682429682,-14.203283682429682,0.0,0.0,0.0,947.6870784477265
93,2021-11-01,971.492168841203,869.271296095371,1086.934198314979,971.492168841203,971.492168841203,1.8089560455481715,1.8089560455481715,1.8089560455481715,1.8089560455481715,1.8089560455481715,1.8089560455481715,0.0,0.0,0.0,973.3011248867512
94,2021-11-02,974.6927710782187,856.933230344349,1079.8243660687253,974.6927710782187,974.6927710782187,-3.617792264373014,-3.617792264373014,-3.617792264373014,-3.617792264373014,-3.617792264373014,-3.617792264373014,0.0,0.0,0.0,971.0749788138456
95,2021-11-03,977.8933733152343,870.0130996535959,1084.2227032369517,977.8933733152343,977.8933733152343,-0.7337970417050261,-0.7337970417050261,-0.7337970417050261,-0.7337970417050261,-0.7337970417050261,-0.7337970417050261,0.0,0.0,0.0,977.1595762735293
96,2021-11-04,981.0939755522497,855.8313638086356,1081.981036158418,981.0939755522497,981.0939755522497,-8.669034871659877,-8.669034871659877,-8.669034871659877,-8.669034871659877,-8.669034871659877,-8.669034871659877,0.0,0.0,0.0,972.4249406805899
97,2021-11-05,983.722314709919,862.170837709234,1084.3846772638813,983.722314709919,983.722314709919,-14.203283682413032,-14.203283682413032,-14.203283682413032,-14.203283682413032,-14.203283682413032,-14.203283682413032,0.0,0.0,0.0,969.519031027506
98,2021-11-08,991.6073321829267,872.980525524413,1111.154758019661,991.6073321829267,991.6073321829267,1.8089560455524654,1.8089560455524654,1.8089560455524654,1.8089560455524654,1.8089560455524654,1.8089560455524654,0.0,0.0,0.0,993.4162882284792
99,2021-11-09,994.2356713405959,882.2914861986147,1106.2798914733305,994.2356713405959,994.2356713405959,-3.6177922643639913,-3.6177922643639913,-3.6177922643639913,-3.6177922643639913,-3.6177922643639913,-3.6177922643639913,0.0,0.0,0.0,990.6178790762319
100,2021-11-10,996.8640104982652,878.2199890230341,1105.5954410310417,996.8640104982652,996.8640104982652,-0.7337970416967151,-0.7337970416967151,-0.7337970416967151,-0.7337970416967151,-0.7337970416967151,-0.7337970416967151,0.0,0.0,0.0,996.1302134565685
101,2021-11-11,999.4923496559344,882.02200477171,1114.4744988945122,999.4923496559344,999.4923496559344,-8.669034871681632,-8.669034871681632,-8.669034871681632,-8.669034871681632,-8.669034871681632,-8.669034871681632,0.0,0.0,0.0,990.8233147842527
102,2021-11-12,1002.1206888136037,872.1954485833088,1108.6767015679368,1002.1206888136037,1002.1206888136037,-14.20328368241325,-14.20328368241325,-14.20328368241325,-14.20328368241325,-14.20328368241325,-14.20328368241325,0.0,0.0,0.0,987.9174051311904
103,2021-11-15,1010.0057062866111,902.7077078187783,1124.9895096082594,1010.0057062866111,1010.0057062866111,1.8089560455927711,1.8089560455927711,1.8089560455927711,1.8089560455927711,1.8089560455927711,1.8089560455927711,0.0,0.0,0.0,1011.814662332204
104,2021-11-16,1012.6340454442804,902.4511310435669,1124.567365316608,1012.6340454442804,1012.6340454442804,-3.6177922643549674,-3.6177922643549674,-3.6177922643549674,-3.6177922643549674,-3.6177922643549674,-3.6177922643549674,0.0,0.0,0.0,1009.0162531799255
105,2021-11-17,1014.004711328931,898.6786625090363,1123.8350831353807,1014.004711328931,1014.004711328931,-0.7337970417045308,-0.7337970417045308,-0.7337970417045308,-0.7337970417045308,-0.7337970417045308,-0.7337970417045308,0.0,0.0,0.0,1013.2709142872264
106,2021-11-18,1015.3753772135814,893.5446639081574,1116.2281471944939,1015.3753772135814,1015.3753772135814,-8.669034871670199,-8.669034871670199,-8.669034871670199,-8.669034871670199,-8.669034871670199,-8.669034871670199,0.0,0.0,0.0,1006.7063423419112
107,2021-11-19,1016.7460430982319,891.0534618055483,1116.0932216389685,1016.7460430982319,1016.7460430982319,-14.203283682396604,-14.203283682396604,-14.203283682396604,-14.203283682396604,-14.203283682396604,-14.203283682396604,0.0,0.0,0.0,1002.5427594158352
108,2021-11-22,1020.8580407521833,905.9961364926278,1136.1759058530909,1020.8580407521833,1020.8580407521833,1.808956045597065,1.808956045597065,1.808956045597065,1.808956045597065,1.808956045597065,1.808956045597065,0.0,0.0,0.0,1022.6669967977804
109,2021-11-23,1022.2287066368339,905.2704570154161,1128.4840707001226,1022.2287066368339,1022.2287066368339,-3.6177922643459435,-3.6177922643459435,-3.6177922643459435,-3.6177922643459435,-3.6177922643459435,-3.6177922643459435,0.0,0.0,0.0,1018.610914372488
110,2021-11-24,1023.5993725214843,912.4315599561461,1136.5562776491618,1023.5993725214843,1023.5993725214843,-0.7337970416908784,-0.7337970416908784,-0.7337970416908784,-0.7337970416908784,-0.7337970416908784,-0.7337970416908784,0.0,0.0,0.0,1022.8655754797934
111,2021-11-26,1026.3407042907852,902.3133368279274,1130.3836091288733,1026.3407042907852,1026.3407042907852,-14.203283682444205,-14.203283682444205,-14.203283682444205,-14.203283682444205,-14.203283682444205,-14.203283682444205,0.0,0.0,0.0,1012.137420608341
112,2021-11-29,1030.4527019447366,921.1828091741002,1142.3089111178158,1030.4527019447366,1030.4527019447366,1.8089560455646858,1.8089560455646858,1.8089560455646858,1.8089560455646858,1.8089560455646858,1.8089560455646858,0.0,0.0,0.0,1032.2616579903013
113,2021-11-30,1030.545490972798,919.4937882641335,1140.2637321433642,1030.545490972798,1030.545490972798,-3.6177922643590112,-3.6177922643590112,-3.6177922643590112,-3.6177922643590112,-3.6177922643590112,-3.6177922643590112,0.0,0.0,0.0,1026.927698708439
114,2021-12-01,1030.6382800008594,906.1003339099607,1139.4197409895924,1030.6382800008594,1030.6382800008594,-0.7337970417040351,-0.7337970417040351,-0.7337970417040351,-0.7337970417040351,-0.7337970417040351,-0.7337970417040351,0.0,0.0,0.0,1029.9044829591553
115,2021-12-02,1030.7310690289207,900.8091600165711,1139.6606427111842,1030.7310690289207,1030.7310690289207,-8.669034871713707,-8.669034871713707,-8.669034871713707,-8.669034871713707,-8.669034871713707,-8.669034871713707,0.0,0.0,0.0,1022.062034157207
116,2021-12-03,1030.8238580569819,898.021353308745,1138.6052667321735,1030.8238580569819,1030.8238580569819,-14.203283682435991,-14.203283682435991,-14.203283682435991,-14.203283682435991,-14.203283682435991,-14.203283682435991,0.0,0.0,0.0,1016.6205743745459
117,2021-12-06,1031.102225141166,920.8873647688101,1147.633763335617,1031.102225141166,1031.102225141166,1.8089560455689793,1.8089560455689793,1.8089560455689793,1.8089560455689793,1.8089560455689793,1.8089560455689793,0.0,0.0,0.0,1032.911181186735
118,2021-12-07,1031.1950141692273,920.7301385204968,1141.9802424023449,1031.1950141692273,1031.1950141692273,-3.617792264349898,-3.617792264349898,-3.617792264349898,-3.617792264349898,-3.617792264349898,-3.617792264349898,0.0,0.0,0.0,1027.5772219048774
119,2021-12-08,1031.2878031972884,914.6526113669224,1141.710480266355,1031.2878031972884,1031.2878031972884,-0.733797041690382,-0.733797041690382,-0.733797041690382,-0.733797041690382,-0.733797041690382,-0.733797041690382,0.0,0.0,0.0,1030.554006155598
120,2021-12-09,1031.3805922253498,906.8777234110943,1139.7655047851524,1031.3805922253498,1031.3805922253498,-8.669034871718868,-8.669034871718868,-8.669034871718868,-8.669034871718868,-8.669034871718868,-8.669034871718868,0.0,0.0,0.0,1022.711557353631
121,2021-12-10,1030.6560069635377,900.5940838842356,1124.8706337772092,1030.6560069635377,1030.6560069635377,-14.203283682427776,-14.203283682427776,-14.203283682427776,-14.203283682427776,-14.203283682427776,-14.203283682427776,0.0,0.0,0.0,1016.4527232811099
122,2021-12-13,1028.482251178101,911.4481168466106,1141.1571243936567,1028.482251178101,1028.482251178101,1.8089560455732747,1.8089560455732747,1.8089560455732747,1.8089560455732747,1.8089560455732747,1.8089560455732747,0.0,0.0,0.0,1030.2912072236743
123,2021-12-14,1027.7576659162887,918.4916318716109,1135.765563984068,1027.7576659162887,1027.7576659162887,-3.617792264362965,-3.617792264362965,-3.617792264362965,-3.617792264362965,-3.617792264362965,-3.617792264362965,0.0,0.0,0.0,1024.1398736519257
124,2021-12-15,1027.0330806544764,908.7158694840908,1139.847038962917,1027.0330806544764,1027.0330806544764,-0.7337970416981963,-0.7337970416981963,-0.7337970416981963,-0.7337970416981963,-0.7337970416981963,-0.7337970416981963,0.0,0.0,0.0,1026.2992836127783
125,2021-12-16,1026.3084953926643,904.0871547855428,1130.207378520488,1026.3084953926643,1026.3084953926643,-8.66903487172403,-8.66903487172403,-8.66903487172403,-8.66903487172403,-8.66903487172403,-8.66903487172403,0.0,0.0,0.0,1017.6394605209402
126,2021-12-17,1025.583910130852,896.3821183674614,1126.5187090165236,1025.583910130852,1025.583910130852,-14.203283682411124,-14.203283682411124,-14.203283682411124,-14.203283682411124,-14.203283682411124,-14.203283682411124,0.0,0.0,0.0,1011.3806264484409
127,2021-12-20,1023.4101543454154,907.9881098594624,1143.5661792561748,1023.4101543454154,1023.4101543454154,1.808956045540894,1.808956045540894,1.808956045540894,1.808956045540894,1.808956045540894,1.808956045540894,0.0,0.0,0.0,1025.2191103909563
